"RegionName","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12"
"Pontiac","MI","Detroit-Warren-Dearborn","Oakland County",479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48700,44000,48500,49900,51450,53000,48999,48000,51800,53900,52000,50950,53900,49900,49700,45400,44500,52450,47401.5,49900
"Skokie","IL","Chicago-Naperville-Elgin","Cook County",480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187270.5,175541,174950,177720.5,189950,179900,199900,229900,239500,227950,229450,240450,234450,249900,230000,217450,219900,242000,230000,245900,249999,234900,249400,252400,249450,239000,215000,219000,217750,204949.5,211950,219000,224999,229900,229950,259000,265000,267450,267450,272000,269450,259450,263500,265000,272000,262000,251950,259000,259000,255000,250000,250000,249900,247605
"The Villages","FL","The Villages","Sumter County",481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177950,180700,176950,179250,182900,177500,198900,185500,184450,197900,189475,189700,209000,199900,210000,207500,214900,199900,199950,195750,195750,199000,195450,195450,194500,189000,189900,199000,199000,204900,193400,189900,189900,198250,194750,192200,194900,189900,195700,194999,193700,204900,202400,202400,207000,198700,199900,219000,221750,232900,224950,224950,218000,199900,189000,202450,222400,219900,217900,217000
"Kendale Lakes","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County",482,1e+05,99000,102500,99700,95000,95000,94000,105000,105000,99650,99900,91800,94000,93000,94900,94450,90000,95000,96500,97000,99000,96500,95000,95000,93500,95000,92000,94400,99900,99950,95000,96250,105000,93000,97000,98500,97500,104900,109700,109000,105000,116250,112500,118250,124450,124450,130000,132400,139925,139950,139200,137500,138200,139400,139900,142000,140250,143950,150000,153000,150000,144950,149999,154700,145450,145000,149000,149250,150950,153450,154950,149950,150000,152000,160000,161000,164900,162500,165900,174950,180000,177000,180000,182950,186000,172000,180000,179900,184450,197000,190000,190000,181500,195000,189500,196450,193500,190000,195000,190000,191500,199900,2e+05,2e+05,199900,202500,209100,203500
"Fairfield","CT","Bridgeport-Stamford-Norwalk","Fairfield County",483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324900,315000,315000,339900,397000,379000,385000,375000,379900,399000,392400,389900,389900,369900,398500,415000,439900,410000,425000,399000,4e+05,394450,359900,370000,370000,369500,359900,359000,349000,347000,347000,349000,349997.5,349000,349000,354500,349000,319900,344995,339000,354500,389000,424450,415000,399000,386500,389900,379000,372450,379000,390000,399000,384997,395000,375000,375000,375000,379499.5,375000,357000,367500,350000,357450,381000,424000,399999,350000,339000,340000,396750,395000,399000,399450
"Meriden","CT","New Haven-Milford","New Haven County",484,162900,169900,167950,162500,162900,159900,156500,158500,153450,154900,149000,142000,144000,140000,144950,143450,149900,148000,148000,149900,148900,147500,145000,139900,135000,137700,139900,139900,135450,134900,130000,135500,132120.5,129900,130000,129900,129900,130000,130000,131450,132900,134000,137500,129900,129900,125900,124900,123000,120200,119900,120000,129900,129000,128900,125000,129250,129900,129900,123825.5,124900,125736,129450,125868,125318,124900,130000,125000,124900,119900,124900,129900,129900,129900,129900,129900,129900,129900,126900,124400,119900,121950,120000,124450,120000,114900,114900,118500,119950,127500,128000,129900,127950,127900,125900,119760.5,125000,129900,139000,137200,135950,130000,139900,140600,137900,129450,129900,131950,126000
"Rapid City","SD","Rapid City","Pennington County",485,142450,137400,139900,143900,123950,118000,118900,119800,114700,114200,114000,114900,114900,114200,110900,109900,113500,112900,117400,114000,119000,119450,119900,127000,119450,118900,114900,110300,105000,111350,112450,119000,114900,112500,113000,115000,116900,113000,109950,107950,110000,121900,119900,131900,131900,126900,128000,129950,135900,137900,149900,139900,148700,160000,159900,152175,159950,144900,132000,144300,159900,160000,159900,160000,159900,167450,169900,164950,170000,169750,159900,159900,168000,167500,168450,176450,174900,164900,169900,157950,152450,156900,150000,164500,160000,159900,165000,169900,178900,171000,172000,169900,169900,174900,184000,187900,179500,184900,172400,174900,174900,188000,197900,204500,204500,213750,179567.5,194900
"Springfield","OH","Springfield","Clark County",486,62200,60000,61900,61900,59900,57000,59500,59900,60000,57900,58200,54950,54900,58400,57600,55500,59900,59900,61900,59900,62500,60950,59900,59950,59000,61500,56450,56000,54900,59900,59000,59200,59000,59200,58050,59700,59900,59900,56400,52900,55000,55500,55000,54900,54900,57000,57500,58000,55000,54550,58000,58000,59900,59900,55900,54900,52450,49900,50700,52900,52193,57000,59700,57500,52900,53000,54950,55000,55000,54950,54500,55000,55000,57575,58000,59700,59900,59900,59900,56900,55250,52900,52900,50950,53900,53000,53250,54900,54900,55000,53500,54500,54000,52400,51500,49900,51750,45000,52450,51075,52700,54800,54850,54900,59000,54950,55500,55000
"Saint Peters","MO","St. Louis","Saint Charles County",487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110000,105000,107900,1e+05,102500,114900,114500,114900,105000,108950,108950,113450,114900,110000,113500,113200,114950,112400,114900,117000,119975,119900,122500,123700,124900,121200,114500,117900,119900,120950,124999,124949.5,122078,119700,120000,115000,119950,119900,124900,124900,119500,120000,123999.5,125000,124950,120000,125000,125000,125000,125000,119900
"Petersburg","VA","Richmond","Petersburg City",488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60450,60450,58499.5,53500,57000,62000,65000,61000,60000,59975,62000,62000,60000,53000,57500,62250,55000,55000,63500,67000,67000,66000,66000,60000,60000,59990,59995,63750,60443.5,58475,53450,47925
